audio_array|sr|text|duration|count_words|median_pitch|db_voice_volume|db_noise_level
"[ 0.          0.          0.         ... -0.00430298 -0.00424194
 -0.00436401]"|16000|джой заказать попкорн к сериальчику|4.5275|5|181.94835039784914|-13.9879|-51.46110939340094
[0.         0.         0.         ... 0.00842285 0.00878906 0.00958252]|16000|двадцать семь юаней девяносто центов сколько это|4.1|7|220.77053041238992|-20.658487|-31.03299797458052
"[-3.05175781e-05  0.00000000e+00  0.00000000e+00 ... -3.05175781e-05
  0.00000000e+00  3.05175781e-05]"|16000|поищи на смотрешке телеканал фэшен тв четыре к|3.27|8|222.43321594414522|-13.265964|-50.476220811440555
[0. 0. 0. ... 0. 0. 0.]|16000|москва доверие на смотрешке|1.975|4|191.23778055111893|-14.197066|-56.61128008861141
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.83105469e-04
 -1.22070312e-04 -9.15527344e-05]"|16000|включи группу у два|4.68|4|176.90884076757294|-22.258835|-34.394403584752695
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  9.15527344e-05
  3.96728516e-04 -2.74658203e-04]"|16000|натан нежно грубо|2.68|3|202.6591231781997|-21.555979|-34.875793856414944
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.10351562e-05
 6.10351562e-05 6.10351562e-05]"|16000|пошукай номер триста девять|2.26|4|185.08095523311124|-21.971998|-37.871768797294806
[0.         0.         0.         ... 0.00045776 0.00140381 0.00039673]|16000|джой включи благо вайт за малчик|5.5491875|6|200.64941836767076|-19.168879|-37.89927395819291
"[6.10351562e-05 6.10351562e-05 3.05175781e-05 ... 1.19018555e-03
 1.73950195e-03 1.37329102e-03]"|16000|джой включи свет на втором этаже|2.2055|6|203.30893572534933|-9.504938|-47.681580866139434
"[ 1.52587891e-04  6.10351562e-05  9.15527344e-05 ...  3.05175781e-05
 -6.10351562e-05 -9.15527344e-05]"|16000|салют включи степанову|3.08|3|194.9028585293073|-21.998983|-38.074091978117
"[-3.05175781e-05 -3.05175781e-05 -1.52587891e-04 ... -1.09863281e-03
 -9.76562500e-04 -6.40869141e-04]"|16000|дарья геннадьевна козеева|2.52|3|216.60921180925823|-14.603819|-46.99812809639088
"[-2.44140625e-04  0.00000000e+00  9.15527344e-05 ... -9.15527344e-05
 -6.10351562e-05  0.00000000e+00]"|16000|поставь сериал за кулисами очень странных дел|4.1|7|190.57680879568096|-18.096004|-33.56244466770529
[0.00222778 0.00195312 0.00137329 ... 0.00097656 0.0007019  0.0007019 ]|16000|прана билет|1.86|2|210.93172455608823|-15.619284|-46.87303128609357
"[0.00000000e+00 6.10351562e-05 1.22070312e-04 ... 7.32421875e-04
 8.23974609e-04 5.79833984e-04]"|16000|фильме в жанре биография|3.6|4|188.76739221241905|-19.047392|-51.650844936028385
"[ 0.          0.          0.         ... -0.00747681 -0.00912476
 -0.00939941]"|16000|ассистент как закрываются документы в отеле|3.8773125|6|204.62774224654657|-9.325994|-49.096414773727986
"[0.00000000e+00 3.05175781e-05 0.00000000e+00 ... 1.43432617e-03
 1.37329102e-03 1.43432617e-03]"|16000|поищи на смотрешке рубль тв|1.775|5|190.7650479435349|-9.896858|-58.60786801971974
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
  3.05175781e-05 -1.83105469e-04]"|16000|цены на экскурсии в отеле|2.94|5|204.0200474687577|-17.67888|-32.59346360716005
[0.         0.         0.         ... 0.0015564  0.00177002 0.00198364]|16000|афина здравствуйте я забыл пароль от карты подскажите какой|4.50425|9|209.91779818002277|-14.333349|-48.15963898182359
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.10351562e-05
 -6.40869141e-04 -2.44140625e-04]"|16000|салют я же сказала|2.94|4|218.49349568182467|-18.269892|-36.05589957595137
"[-0.00549316  0.00320435  0.01339722 ... -0.0440979  -0.02172852
  0.01031494]"|16000|не русскую комедию какую нибудь посмотреть|4.44|6|194.62292010744713|-14.174471|-37.611478353430726
[0.         0.         0.         ... 0.00222778 0.00210571 0.00152588]|16000|у тебя в запасе есть часть тридцать восемь битлджус|4.68|9|228.32425437713516|-15.268161|-48.08223842783594
"[-3.05175781e-05 -3.05175781e-05 -3.05175781e-05 ... -6.40869141e-04
 -9.76562500e-04 -8.54492188e-04]"|16000|время работы тридцать шесть шесть|3.94|5|204.28248556784843|-24.09441|-30.799493725500703
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 9.15527344e-05
 1.83105469e-04 2.13623047e-04]"|16000|двести австралийских долларов сколько это фунтов стерлингов|8.3355625|7|203.88318392145885|-24.886692|-38.5213263390942
"[ 6.10351562e-05  6.10351562e-05  6.10351562e-05 ... -5.37109375e-03
  3.35693359e-04  2.10571289e-03]"|16000|ассистент хочу заказать обед в номер|3.2039375|6|216.01152457440867|-13.927716|-45.51476366355239
"[-3.05175781e-05  0.00000000e+00  3.05175781e-05 ...  7.01904297e-04
  6.10351562e-04  6.10351562e-04]"|16000|колобокс|1.16|1|202.90876226671318|-13.945337|-39.04307937774981
"[ 0.00073242  0.00048828  0.00018311 ... -0.00054932 -0.00033569
 -0.00021362]"|16000|хочу посмотреть канал москва доверие на тв|5.184|7|202.2558928679224|-14.823749|-38.40558222513529
"[-0.00018311 -0.00027466 -0.00018311 ... -0.0010376  -0.00091553
 -0.00100708]"|16000|сезон пять сериала поллитровая мышь|4.82|5|187.9341927044934|-13.780346|-33.256640657745834
"[ 0.          0.          0.         ... -0.01071167 -0.01055908
 -0.0098877 ]"|16000|афина нужно записать меня на среду на коррекцию бровей|6.8959375|9|175.01136737897136|-17.50536|-43.27427139875608
[0.00387573 0.00311279 0.00256348 ... 0.00302124 0.00283813 0.00033569]|16000|кино судьба резидента можешь показать|3.9893125|5|192.6032568102966|-17.827576|-46.0713084144178
"[-3.05175781e-05  0.00000000e+00 -6.10351562e-05 ... -2.31933594e-03
 -1.40380859e-03 -1.25122070e-03]"|16000|бу республиканская клиническая больница время работы|6.9|6|202.37825523046402|-20.444923|-31.6175911145228
"[-3.05175781e-05 -3.05175781e-05 -3.05175781e-05 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]"|16000|покажи мне на смотрешке канал синергия тв|2.7368125|7|191.7971419317068|-11.180478|-52.59979777128046
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -9.15527344e-05
 -1.22070312e-04 -3.05175781e-05]"|16000|тир в отеле подробности|2.3|4|190.44447065833626|-22.64034|-43.26861077287916
"[9.15527344e-05 9.15527344e-05 6.10351562e-05 ... 1.55639648e-03
 1.06811523e-03 1.37329102e-03]"|16000|пензе|0.928375|1|187.01645316246868|-17.925913|-40.68777986437993
"[ 0.          0.          0.         ... -0.00021362 -0.00125122
 -0.00149536]"|16000|покажи кино заклятые друзья|3.98|4|194.2716590314827|-23.724077|-35.71417652562406
"[-2.44140625e-04 -2.74658203e-04 -3.05175781e-05 ...  5.79833984e-04
  1.52587891e-04  6.10351562e-05]"|16000|поставь ка ленту майкла бэя полный расколбас|6.62|7|204.18170817982036|-23.82136|-35.084339287740136
"[6.10351562e-05 6.10351562e-05 6.10351562e-05 ... 2.19726562e-03
 4.54711914e-03 4.66918945e-03]"|16000|поставь на тв известия|2.52|4|208.29391213081865|-14.007295|-36.92690381470185
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.22070312e-04
 -1.22070312e-04 -9.15527344e-05]"|16000|сбер морион фараон|2.64|3|198.5511272485931|-20.7947|-54.421200140898954
[0.         0.         0.         ... 0.00256348 0.00265503 0.00210571]|16000|включи джулиан винсент|2.8|3|203.8019932776465|-19.710382|-39.05599731772032
"[ 0.00460815  0.00512695  0.00363159 ...  0.0017395  -0.00167847
 -0.00308228]"|16000|можешь показать анатомия страсти|2.882|4|203.54243263287427|-15.14886|-54.16096130561186
"[ 0.00436401  0.00595093  0.00506592 ... -0.0045166  -0.00482178
 -0.00570679]"|16000|включи документалку фильм годы|3.89|4|172.43532987713215|-13.251848|-59.51676554000985
[0.         0.         0.         ... 0.00332642 0.00204468 0.00247192]|16000|включи мне на телевизоре тнв|2.80925|5|226.89812547172272|-11.971735|-39.09286472243083
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
 -3.05175781e-05 -3.05175781e-05]"|16000|сплетница двенадцатый сезон пятнадцатый эпизод|4.52|5|200.35222886918874|-19.813883|-40.745124503528494
"[-3.05175781e-05  0.00000000e+00  0.00000000e+00 ...  3.05175781e-05
  6.10351562e-05  3.05175781e-05]"|16000|включи мне бридж тиви хитс на смотрешке|2.3909375|7|192.74351388899544|-12.587332|-43.30767921471272
"[ 0.          0.          0.         ... -0.0007019  -0.00030518
  0.00018311]"|16000|надежду юрьевну нестеренко|1.84|3|215.40608522405006|-16.071514|-39.87510115884656
[0. 0. 0. ... 0. 0. 0.]|16000|включи на смотрешке передачу ру тв|4.32|6|186.45381640331834|-18.676413|-40.284908996212415
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.05175781e-05
 -6.10351562e-05  3.05175781e-05]"|16000|включи мне на тв телеканал ростов папа|2.8|7|193.21074997324837|-18.016356|-37.66910620727008
"[ 0.          0.          0.         ... -0.0007019  -0.00048828
 -0.00015259]"|16000|запускай картину жанра спорт|3.2968125|4|193.22297877303507|-15.023406|-39.31650146803808
[0.         0.         0.         ... 0.0020752  0.00222778 0.00167847]|16000|валерий макаров|2.34|2|156.19937860491876|-16.666592|-46.599269588696664
"[3.96728516e-04 2.74658203e-04 4.57763672e-04 ... 0.00000000e+00
 9.15527344e-05 1.83105469e-04]"|16000|галине егоровой|3.44|2|184.40244099125087|-24.051697|-40.59229602949441
[0.         0.         0.         ... 0.00671387 0.00723267 0.00744629]|16000|афина часовой пояс город петра|3.1575625|5|181.7367297688741|-17.364017|-49.590178491882746
"[-3.05175781e-05 -6.10351562e-05 -6.10351562e-05 ...  3.05175781e-05
 -1.52587891e-04 -1.22070312e-04]"|16000|афина как выгоднее всего пользоваться интернетом за границей|5.1|8|208.36029234992486|-22.68634|-35.84737926205452
"[0.00000000e+00 0.00000000e+00 3.05175781e-05 ... 6.71386719e-04
 6.10351562e-04 4.88281250e-04]"|16000|покажи диктатор четыре кей|4.225625|4|213.49493576313193|-20.05246|-40.07053757224457
"[-3.05175781e-05 -6.10351562e-05 -6.10351562e-05 ...  2.92968750e-03
  2.74658203e-03  4.94384766e-03]"|16000|у тебя будет новая киношка в стилистике комедия|4.806125|8|221.4165866996349|-15.923175|-44.04140133098398
"[-3.05175781e-05  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
  0.00000000e+00  0.00000000e+00]"|16000|открой на смотрешке телеканал бридж тв классик|3.3275|7|196.81543010944142|-11.645876|-47.51935061235052
[0.         0.         0.         ... 0.00350952 0.00442505 0.00527954]|16000|режиссер квентин тарантино|3.5290625|3|185.6604413255068|-11.694474|-56.25216867727732
"[ 0.          0.          0.         ... -0.00421143 -0.00271606
 -0.00067139]"|16000|три кота|3.52|2|191.74996423864363|-14.923842|-38.792500489748
[0.         0.         0.         ... 0.0043335  0.00463867 0.00473022]|16000|сколько будет стоить продать шестьсот пятьдесят китайских юаней переведя на бакс|6.1296875|11|206.26352271075268|-15.499715|-45.46077355520871
"[ 3.05175781e-05 -1.22070312e-04 -1.83105469e-04 ...  3.05175781e-03
  1.67846680e-03  4.27246094e-04]"|16000|илья рашидович|2.693125|2|205.24585316990917|-20.648098|-44.31782256594903
"[ 0.00201416  0.00222778  0.00164795 ... -0.00598145 -0.00100708
  0.00152588]"|16000|доктор хаус серия шесть|2.44|4|195.93663866983434|-15.065674|-41.29940085293914
"[-0.00201416 -0.00177002 -0.00241089 ... -0.00054932 -0.00177002
 -0.00054932]"|16000|у тебя в запасе есть последняя часть даблюуайсиси двести двадцать лайв|6.798|11|200.35043108136722|-14.210266|-52.99910778219569
[0.         0.         0.         ... 0.         0.00042725 0.00054932]|16000|открой на тв телеканал первый вегетарианский|4.84|6|185.37811614049158|-20.498371|-38.88613545219246
"[-3.05175781e-05 -3.05175781e-05  0.00000000e+00 ... -2.10571289e-03
 -2.80761719e-03 -2.04467773e-03]"|16000|найти телеканал ру тв на смотрешке|5.1|6|199.0343103802606|-20.07633|-32.795008765643345
"[ 6.10351562e-05 -7.01904297e-04  4.27246094e-04 ... -1.03759766e-03
 -9.76562500e-04 -1.25122070e-03]"|16000|показывай сериальчик очень странные дела пятый сезон|4.288|7|202.35280976588115|-16.153791|-30.66843837026585
"[ 0.00027466  0.00033569  0.00030518 ...  0.00140381  0.00048828
 -0.00015259]"|16000|фильм это англия год тысяча девятьсот восемьдесят шестой смотреть онлайн|7.03|10|187.3335796285534|-11.974947|-55.49117609355513
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -7.93457031e-04
 -7.01904297e-04 -9.15527344e-05]"|16000|какими партийными органами было принято историческое решение о переносе столицы россии из петрограда в москву|8.54|15|181.67311265188397|-18.751013|-40.34651387940355
"[ 0.00387573  0.00424194  0.00393677 ... -0.08114624 -0.01303101
 -0.06097412]"|16000|отцы и дети серия двадцать три|3.542|6|207.54837034936662|-16.732681|-52.55380193000394
"[ 0.          0.          0.         ... -0.00726318 -0.00735474
 -0.00744629]"|16000|трансляция матча астон виллы и арсенала|4.156|6|205.5510811688425|-14.398381|-49.21610253323868
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -9.15527344e-05
 -4.27246094e-04 -2.13623047e-04]"|16000|александр иванович маслов|2.28|3|195.25527787711832|-18.549503|-30.98193913824193
"[-9.15527344e-05 -6.10351562e-05 -6.10351562e-05 ...  7.62939453e-04
  4.88281250e-04 -9.15527344e-05]"|16000|сериалы|2.56|1|184.49238074960442|-16.601212|-35.857093739921005
"[ 0.          0.          0.         ... -0.00033569 -0.00057983
 -0.00042725]"|16000|найти почтальон пэт эйч ди|3.76|5|200.1659488445969|-18.11682|-38.680869276238056
"[ 0.          0.          0.         ... -0.00054932 -0.00024414
 -0.00018311]"|16000|здравствуйте помогите найти канал стс|6.338625|5|195.40871189095276|-21.825888|-39.47166948302147
"[3.05175781e-05 3.05175781e-05 3.05175781e-05 ... 6.40869141e-04
 3.96728516e-04 4.27246094e-04]"|16000|у тебя в загашнике есть обмани меня|3.7148125|7|203.80509320470813|-16.543018|-45.3529819595034
"[-3.05175781e-05  0.00000000e+00  0.00000000e+00 ...  6.10351562e-05
  9.15527344e-05  3.05175781e-05]"|16000|у тебя в каталоге есть двадцать вторая часть милые обманщицы|6.38|10|189.09462359332602|-17.001488|-37.0313007695149
"[ 1.73950195e-03  1.49536133e-03  1.49536133e-03 ... -3.05175781e-05
 -1.52587891e-04 -1.52587891e-04]"|16000|андрей картавцев первый эпизод|3.08|4|211.00642901629757|-12.523071|-58.09749620028326
"[ 0.          0.          0.         ... -0.00015259  0.
  0.00015259]"|16000|эпизод четырнадцать сезон четыре гудини|4.1791875|5|218.61495767951084|-16.827354|-47.77846186730388
[0.         0.         0.         ... 0.00115967 0.00137329 0.0010376 ]|16000|пейнтбол в отеле подробности|2.5|4|203.57842007673545|-17.194695|-43.42579212336246
"[0.00000000e+00 6.10351562e-05 6.10351562e-05 ... 6.10351562e-05
 1.52587891e-04 1.52587891e-04]"|16000|у тебя будет сериал жизнь других|2.62|6|251.764352712792|-24.442677|-31.16641042931217
"[ 0.          0.          0.         ... -0.00189209 -0.00210571
 -0.00265503]"|16000|включи анжелика варум|4.6668125|3|174.33932019080302|-19.371124|-55.63761026323146
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.05175781e-05
 -5.18798828e-04 -4.57763672e-04]"|16000|приключения шерлока холмса и доктора ватсона шестой сезон часть тридцать четыре|5.8|11|191.99894969645092|-12.477735|-33.87537920779031
"[-0.0178833  -0.01989746 -0.01824951 ...  0.00363159  0.00354004
  0.00259399]"|16000|поставь сериальчик декстер|3.76|3|188.30133997882285|-21.179642|-48.62673824267395
"[ 0.0007019  -0.00082397 -0.00119019 ...  0.00134277  0.00112915
  0.00091553]"|16000|серия тридцать семь сезон десять крот два|4.114|7|194.0864093482672|-19.379276|-55.95692321794013
[0. 0. 0. ... 0. 0. 0.]|16000|покажи мне на смотрешке телеканал кхл тв|3.055|7|187.82741094605458|-11.438979|-63.92458860802719
"[ 0.00146484  0.00119019  0.00149536 ...  0.02142334  0.00250244
 -0.00985718]"|16000|ютюб фифа ти ви|3.542|4|169.35096380783483|-15.340641|-49.28652112780849
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.13623047e-04
  3.05175781e-05 -2.74658203e-04]"|16000|лишинга|2.3680625|1|173.2070959719116|-21.694773|-43.24580556271456
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  0.00000000e+00
 -1.83105469e-04 -9.15527344e-05]"|16000|включи последнее видео булкина на ютуб|3.32|6|193.20777747455026|-17.786451|-52.4076254254591
"[ 0.          0.          0.         ... -0.00213623 -0.00195312
 -0.00201416]"|16000|сбер блэссед|2.0661875|2|190.88627925747295|-23.883385|-39.50761655540524
"[-0.00039673 -0.00012207 -0.00021362 ...  0.05361938  0.07821655
  0.07775879]"|16000|катрин где находится|3.0414375|3|194.99426671705942|-9.623079|-47.11034948597405
[0.         0.         0.         ... 0.01480103 0.01318359 0.00704956]|16000|сбер хочу проверить сберкнижку|3.7148125|4|158.04482589259248|-13.914344|-40.3101119025617
"[-0.00039673 -0.00030518 -0.00039673 ... -0.00042725 -0.00057983
 -0.00048828]"|16000|алиса закажи на дом три упаковки вискаса|7.8|7|177.62968137903883|-24.092422|-35.674828127530404
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.10351562e-05
 3.05175781e-05 6.10351562e-05]"|16000|хоум четыре ка на смотрешке|2.43|5|216.56406121522483|-13.466842|-56.077862351737515
[0.         0.         0.         ... 0.00271606 0.00238037 0.0015564 ]|16000|джим пуговка и машинист лукас покажи|5.02|6|201.50086248163768|-21.671587|-45.71810955313197
[0.00354004 0.0039978  0.00369263 ... 0.01702881 0.02359009 0.02426147]|16000|кейт хадсон фильм у тебя в списке есть|3.784|8|190.29828961300706|-18.048843|-52.17692236601856
"[ 0.          0.          0.         ... -0.00085449 -0.00054932
 -0.0007019 ]"|16000|сбер найди канал восток тв|2.693125|5|178.60091679527474|-21.127487|-45.381709690799255
"[0.00000000e+00 3.05175781e-05 3.05175781e-05 ... 6.31713867e-03
 6.16455078e-03 6.50024414e-03]"|16000|сбер включи шейкен|3.775625|3|216.643399681046|-19.99643|-49.63831585471336
"[-0.00045776  0.00027466 -0.00039673 ... -0.00280762 -0.00317383
 -0.00195312]"|16000|первый сезон сериала король шаманов|4.26|5|195.9469749386542|-20.06069|-31.522525405384474
"[ 0.          0.          0.         ... -0.00057983 -0.00079346
 -0.00048828]"|16000|заводи мультфильм два с половиной человека сезон восемь|4.02|8|223.76854365288304|-9.252033|-50.386796670757924
[0.         0.         0.         ... 0.00262451 0.00296021 0.00283813]|16000|афина ну что там|1.877|4|200.40515189231826|-17.108288|-44.09082890474036
"[ 9.15527344e-05  3.05175781e-05 -1.22070312e-04 ...  2.44140625e-04
  2.74658203e-04  1.22070312e-04]"|16000|найти фильм в жанре детский|3.68|5|183.32939814353728|-20.457926|-38.25308973258984
[0.         0.         0.         ... 0.00149536 0.00167847 0.0015564 ]|16000|михаил гаджиев|2.94|2|192.74561932185415|-20.30404|-41.921045736439176
"[-3.05175781e-05 -3.05175781e-05 -3.05175781e-05 ... -4.88281250e-04
 -2.13623047e-04 -6.10351562e-04]"|16000|летсплей найди|1.78|2|196.8936476663932|-18.009392|-34.308986789410085
"[-0.00067139 -0.00027466 -0.00100708 ... -0.00317383 -0.00405884
 -0.00341797]"|16000|посоветуй мне сочи на телевизоре|4.02|5|203.8947525667427|-22.586231|-30.934606370575146
[0.         0.         0.         ... 0.07516479 0.09075928 0.08084106]|16000|запусти необыкновенное лето|2.94|3|178.17148104902054|-5.2499113|-49.733287893238185
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.05175781e-05
  3.05175781e-05  9.15527344e-05]"|16000|джой что такое дополнительные взносы|2.786|5|209.98778637211453|-12.72363|-53.58003112140111
"[ 4.57763672e-04  4.57763672e-04  3.05175781e-04 ... -9.15527344e-05
 -2.13623047e-04 -9.15527344e-05]"|16000|где можно оставить положительный отзыв о работе отеля|4.38|8|193.513797222227|-17.872648|-43.571749491082954
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.10351562e-05
  1.22070312e-04  6.10351562e-05]"|16000|афина найди мозги|3.76|3|186.0554263470874|-21.481155|-39.907374772412105
[0.0010376  0.00146484 0.00119019 ... 0.01477051 0.0163269  0.01968384]|16000|найди первая серия майя рождение легенды|3.014|6|185.25892170721772|-7.5776353|-64.92557587647389
"[ 0.00000000e+00 -3.05175781e-05  2.44140625e-04 ... -6.89697266e-03
 -7.35473633e-03 -6.34765625e-03]"|16000|варианты пополнения телефона с банковской карты|3.82|6|176.25850252036142|-12.191722|-57.77109235934869
"[-0.00024414 -0.00027466 -0.00012207 ...  0.00460815  0.00601196
  0.00549316]"|16000|есть ли у тебя фильм деревенские медведи|4.18|7|210.05403534620518|-12.405293|-47.20165081524195
"[ 0.          0.          0.         ... -0.00326538 -0.00424194
 -0.00424194]"|16000|джой сколько комиссия за снятие денег с карты через банкомат|6.42|10|200.49296083273043|-15.920316|-35.45986795830571
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.10351562e-05
  1.52587891e-04  1.52587891e-04]"|16000|александром андреевичем батуриным|4.4583125|3|193.8707224977383|-19.424814|-47.94347508386002
[0.00091553 0.00112915 0.0010376  ... 0.00164795 0.00192261 0.00167847]|16000|включи про любовь|3.06|3|185.83264313963866|-20.491293|-45.81826003481439
[0. 0. 0. ... 0. 0. 0.]|16000|афина какие история языков программирования ты знаешь|6.52|7|194.20982435390434|-22.814697|-37.25932220254665
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.05175781e-05
  0.00000000e+00  3.05175781e-05]"|16000|двести девяносто пять пять десять семьдесят одиннадцать восемьсот|6.7|8|164.88934996654538|-16.073158|-45.552743090937994
"[-0.00170898 -0.00195312 -0.00115967 ... -0.00088501 -0.00125122
 -0.00076294]"|16000|беглецы ты можешь включить|3.44|4|178.32691207502606|-21.078407|-52.94729369888964
"[ 0.01010132  0.01165771  0.01068115 ...  0.00558472 -0.00442505
 -0.00518799]"|16000|включай киноработу в духе романтика|2.772|5|209.11085302046746|-9.051479|-62.1009323057075
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 6.10351562e-05
 6.10351562e-05 3.05175781e-05]"|16000|покажи на смотрешке канал ржд тв|2.615|6|196.91120487338904|-13.301957|-51.43683813725908
"[-9.15527344e-05  0.00000000e+00  3.05175781e-05 ... -2.13623047e-04
 -2.74658203e-04 -5.18798828e-04]"|16000|отличный гамбургер|2.2|2|182.8628740516371|-17.191753|-36.67952279976183
[0.00036621 0.00045776 0.00033569 ... 0.04107666 0.04702759 0.01748657]|16000|есть ли у тебя подборка шарлотта генсбур похмельные игры|5.522|9|200.58376000446611|-14.299977|-59.984820102825914
[0.         0.         0.         ... 0.00918579 0.0105896  0.00900269]|16000|серия три сезона четырнадцать проповедник|5.02|5|214.2237407616992|-13.788025|-49.39713074502915
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.10351562e-05
  3.66210938e-04  1.83105469e-04]"|16000|мертвые ласточки|3.668375|2|140.12977744195206|-19.61167|-50.69900724751341
[0.         0.         0.         ... 0.00097656 0.00088501 0.0007019 ]|16000|афина любит ли рано вставать наталья владимировна|6.46|7|203.94669923136686|-19.027143|-48.99259902410316
[0.         0.         0.         ... 0.05136108 0.05230713 0.04467773]|16000|где находится остров|5.06|3|181.7899581256799|-15.271107|-40.751585428091445
